		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   24   27   24   23   26   17   30   22  4.383816 0.820941 SUCCESS  76
100101000   27   26   30   31   19   24   21   21  5.791185 0.670609 SUCCESS  77
100110000   30   18   19   28   26   21   26   19  6.789451 0.559511 SUCCESS  78
100111000   16   23   27   22   26   32   26   20  7.086680 0.527310 SUCCESS  79
101000000   30   28   26   30   24   27   35   31 10.218506 0.250023 SUCCESS  80
101000100   26   18   28   32   23   23   23   21  5.578690 0.694307 SUCCESS  81
101001000   24   25   16   23   20   19   30   37 13.204697 0.104998 SUCCESS  82
101001100   23   24   18   26   31   26   18   27  5.909018 0.657423 SUCCESS  83
101010000   26   27   17   31   36   29   27   23 11.529888 0.173444 SUCCESS  84
101010100   30   22   25   27   19   25   21   21  4.103799 0.847639 SUCCESS  85
101011000   21   34   23   24   24   27   31   23  6.707365 0.568509 SUCCESS  86
101011100   18   25   26   25   22   32   18   18  8.034635 0.430094 SUCCESS  87
101100000   23   28   22   20   16   18   27   28  7.254823 0.509405 SUCCESS  88
101100100   11   27   37   21   22   26   20   28 16.831023 0.031918 SUCCESS  89
101101000   25   23   26   31   26   18   32   19  7.579193 0.475616 SUCCESS  90
101101100   23   23   29   24   34   18   24   33  9.851108 0.275632 SUCCESS  91
101110000   22   18   26   28   30   29   21   26  5.460858 0.707373 SUCCESS  92
101110100   19   24   15   23   29   23   26   22  6.398883 0.602644 SUCCESS  93
101111000   23   15   25   26   24   20   31   24  6.628590 0.577182 SUCCESS  94
101111100   25   24   18   35   21   27   14   25 11.890667 0.156149 SUCCESS  95
110000000   28   19   20   16   21   24   26   24  6.203599 0.624437 SUCCESS  96
110000010   26   27   24   21   23   28   27   32  4.258702 0.833061 SUCCESS  97
110000100   29   33   26   19   26   23   37   24 12.301095 0.138267 SUCCESS  98
110001000   21   24   26   25   32   21   22   24  3.807894 0.874027 SUCCESS  99
110001010   28   23   23   20   24   20   13   27  8.152467 0.418720 SUCCESS 100
110010000   25   26   28   24   23   19   20   16  5.805749 0.668980 SUCCESS 101
110010010   18   30   24   23   27   31   27   15  9.315566 0.316379 SUCCESS 102
110010100   29   25   20   30   21   29   20   16  8.255736 0.408896 SUCCESS 103
110011000   34   18   20   26   18   24   22   28  9.103070 0.333676 SUCCESS 104
110011010   35   20   29   32   22   23   27   30 10.869232 0.209219 SUCCESS 105
110100000   28   28   27   28   23   24   40   29 13.234486 0.104032 SUCCESS 106
110100010   26   21   30   27   30   23   22   25  3.885346 0.867317 SUCCESS 107
110100100   25   19   30   22   20   26   26   28  4.409634 0.818404 SUCCESS 108
110101000   29   31   20   27   31   25   28   23  6.343939 0.608765 SUCCESS 109
110101010   29   24   29   21   17   23   25   21  5.196728 0.736358 SUCCESS 110
110101100   27   27   24   28   29   27   32   29  5.658789 0.685391 SUCCESS 111
110110000   19   35   16   25   22   18   26   23 11.169771 0.192264 SUCCESS 112
110110010   20   25   29   22   23   28   21   25  3.112815 0.927079 SUCCESS 113
110110100   33   20   23   30   28   14   29   22 11.637791 0.168111 SUCCESS 114
110111000   17   26   27   31   23   32   27   22  7.622222 0.471214 SUCCESS 115
110111010   24   28   12   18   29   30   28   22 11.823145 0.159271 SUCCESS 116
110111100   31   20   24   29   23   23   25   30  5.080219 0.748969 SUCCESS 117
111000000   23   24   28   15   29   36   25   25 11.011558 0.201045 SUCCESS 118
111000010   26   24   30   20   27   30   31   21  6.216176 0.623031 SUCCESS 119
111000100   24   29   28   18   20   22   17   20  7.389867 0.495211 SUCCESS 120
111000110   19   27   20   25   24   26   28   25  3.036688 0.932034 SUCCESS 121
111001000   18   22   28   23   28   27   17   18  7.500417 0.483724 SUCCESS 122
111001010   30   31   23   35   21   29   22   17 11.969443 0.152572 SUCCESS 123
111001100   29   22   27   28   21   25   24   30  3.817824 0.873175 SUCCESS 124
111010000   20   33   28   24   19   23   19   28  7.612292 0.472228 SUCCESS 125
111010010   18   26   27   23   18   18   24   29  6.585561 0.581934 SUCCESS 126
111010100   26   38   13   28   31   25   28   24 16.418609 0.036766 SUCCESS 127
111010110   23   20   18   24   25   26   32   27  5.502562 0.702756 SUCCESS 128
111011000   26   22   20   22   21   23   22   23  2.314468 0.969822 SUCCESS 129
111011010   21   19   21   28   32   19   31   17 10.611060 0.224725 SUCCESS 130
111011100   19   23   14   28   28   27   20   22  8.347751 0.400259 SUCCESS 131
111100000   25   25   19   18   27   28   27   20  4.942527 0.763701 SUCCESS 132
111100010   24   25   29   20   19   22   15   31  8.805841 0.358939 SUCCESS 133
111100100   14   22   26   19   31   23   21   16 11.574903 0.171202 SUCCESS 134
111100110   27   26   27   26   18   30   27   23  4.224279 0.836342 SUCCESS 135
111101000   27   31   29   18   23   19   17   25  8.416597 0.393869 SUCCESS 136
111101010   22   32   19   28   21   30   29   29  8.088917 0.424833 SUCCESS 137
111101100   19   29   18   23   18   26   21   24  6.288332 0.614969 SUCCESS 138
111101110   27   23   17   24   33   30   21   21  8.137904 0.420117 SUCCESS 139
111110000   23   33   24   18   21   31   23   21  7.866492 0.446619 SUCCESS 140
111110010   27   29   21   24   37   26   21   30 10.335015 0.242295 SUCCESS 141
111110100   23   26   24   12   24   14   19   15 16.275621 0.038601 SUCCESS 142
111110110   23   33   23   29   21   31   19   25  7.783083 0.454941 SUCCESS 143
111111000   27   24   25   13   24   19   21   28  8.093551 0.424386 SUCCESS 144
111111010   18   24   27   13   23   21   25   20  8.939561 0.347420 SUCCESS 145
111111100   22   22   21   16   29   22   19   32  8.788630 0.360440 SUCCESS 146
111111110   14   16   18   14   18   21   19   25 17.358620 0.026584 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   20   24   20   20   12   24   25   25  9.015689 0.340974 SUCCESS   0
000000011   23   25   22   21   16   25   25   27  4.136898 0.844566 SUCCESS   1
000000101   15   23   24   18   21   31   24   23  7.991606 0.434290 SUCCESS   2
000000111   28   25   21   21   19   15   18   18  9.989461 0.265766 SUCCESS   3
000001001   13   25   17   17   24   30   25   28 12.058810 0.148599 SUCCESS   4
000001011   18   30   27   22   22   27   19   32  7.807576 0.452489 SUCCESS   5
000001101   34   20   26   26   24   25   24   26  5.080219 0.748969 SUCCESS   6
000001111   26   25   26   19   15   21   18   14 12.014458 0.150560 SUCCESS   7
000010001   23   17   25   27   18   21   28   26  5.585972 0.693498 SUCCESS   8
000010011   25   29   22   26   22   24   32   27  4.250096 0.833883 SUCCESS   9
000010101   22   21   29   15   30   19   29   16 11.821821 0.159333 SUCCESS  10
000010111   15   24   26   19   23   24   30   28  7.060863 0.530081 SUCCESS  11
000011001   16   22   23   27   26   33   21   18  9.068647 0.336538 SUCCESS  12
000011011   32   24   21   21   22   22   18   23  5.738227 0.676527 SUCCESS  13
000011101   13   30   24   20   25   20   20   26  9.423469 0.307841 SUCCESS  14
000011111   33   19   20   25   15   17   22   22 11.752976 0.162570 SUCCESS  15
000100011   27   19   20   25   18   28   30   29  6.866903 0.551059 SUCCESS  16
000100101   22   21   22   21   27   23   24   22  2.086085 0.978258 SUCCESS  17
000100111   26   24   26   25   19   25   32   28  4.487085 0.810724 SUCCESS  18
000101001   16   23   24   25   21   30   19   24  6.153288 0.630066 SUCCESS  19
000101011   25   22   30   22   34   22   24   18  7.722843 0.461001 SUCCESS  20
000101101   31   33   24   33   24   23   18   23 10.029180 0.262984 SUCCESS  21
000101111   23   29   24   19   30   21   26   18  5.883201 0.660313 SUCCESS  22
000110011   20   23   22   20   22   24   22   24  2.466723 0.963265 SUCCESS  23
000110101   37   26   18   31   26   30   27   26 12.250784 0.140360 SUCCESS  24
000110111   30   26   15   21   22   23   25   23  6.094372 0.636662 SUCCESS  25
000111001   33   25   34   25   21   29   25   22  8.716474 0.366776 SUCCESS  26
000111011   27   27   24   22   36   28   22   37 14.047397 0.080538 SUCCESS  27
000111101   19   25   23   28   20   27   23   18  4.806160 0.778079 SUCCESS  28
000111111   27   26   24   21   21   21   30   22  3.443143 0.903557 SUCCESS  29
001000011   24   33   21   18   23   22   28   29  7.138314 0.521786 SUCCESS  30
001000101   29   26   20   33   23   27   27   20  6.435954 0.598520 SUCCESS  31
001000111   23   25   24   32   24   32   32   26  7.564629 0.477110 SUCCESS  32
001001011   20   17   26   25   27   19   19   15  9.761078 0.282197 SUCCESS  33
001001101   18   18   29   19   31   18   23   20 10.084124 0.259171 SUCCESS  34
001001111   30   19   26   17   19   22   23   28  7.102567 0.525608 SUCCESS  35
001010011   20   26   26   25   30   20   28   16  6.739141 0.565021 SUCCESS  36
001010101   25   25   21   33   21   29   25   17  7.375303 0.496734 SUCCESS  37
001010111   24   15   19   16   35   31   20   27 15.686459 0.047094 SUCCESS  38
001011011   23   26   18   25   22   19   20   19  5.474097 0.705908 SUCCESS  39
001011101   27   28   21   25   19   30   32   32  8.801208 0.359343 SUCCESS  40
001011111   22   29   27   20   35   24   24   22  7.266076 0.508216 SUCCESS  41
001100101   19   25   19   28   19   18   24   27  6.296938 0.614008 SUCCESS  42
001100111   21   25   25   25   20   24   28   22  2.154930 0.975890 SUCCESS  43
001101011   31   28   22   35   29   28   23   21  9.420159 0.308100 SUCCESS  44
001101101   28   18   28   25   31   17   24   24  7.027764 0.533640 SUCCESS  45
001101111   36   22   16   25   26   23   19   24 10.382677 0.239187 SUCCESS  46
001110101   26   25   32   23   26   14   27   24  7.638109 0.469594 SUCCESS  47
001110111   28   30   29   16   24   27   23   35 10.902331 0.207295 SUCCESS  48
001111011   18   21   24   36   24   27   22   18 10.204605 0.250958 SUCCESS  49
001111101   23   30   29   21   23   20   26   37 10.537581 0.229301 SUCCESS  50
001111111   24   23   24   24   17   13   21   23  8.498683 0.386332 SUCCESS  51
010000011   30   22   24   29   23   21   28   18  5.333095 0.721453 SUCCESS  52
010000111   27   25   25   15   23   22   26   23  4.577776 0.801602 SUCCESS  53
010001011   33   34   24   30   25   26   21   19 10.224464 0.249624 SUCCESS  54
010001111   18   28   33   26   29   34   28   30 12.209080 0.142116 SUCCESS  55
010010011   20   26   23   23   21   25   24   27  1.892124 0.984142 SUCCESS  56
010010111   24   25   25   34   24   19   22   24  5.435040 0.710226 SUCCESS  57
010011011   29   15   21   23   35   22   31   27 12.350081 0.136254 SUCCESS  58
010011111   28   26   30   17   21   24   20   31  7.468642 0.487013 SUCCESS  59
010100011   24   19   29   24   24   27   31   28  4.834625 0.775097 SUCCESS  60
010100111   23   30   25   27   30   23   18   18  6.595491 0.580836 SUCCESS  61
010101011   26   20   21   25   17   28   23   20  5.204009 0.735565 SUCCESS  62
010101111   26   15   16   26   31   26   20   26  9.831248 0.277070 SUCCESS  63
010110011   32   17   35   31   24   17   26   22 14.053355 0.080385 SUCCESS  64
010110111   16   26   27   29   26   26   27   19  6.019568 0.645040 SUCCESS  65
010111011   23   34   16   22   18   30   29   35 15.943308 0.043199 SUCCESS  66
010111111   13   21   26   21   30   32   20   26 11.297533 0.185404 SUCCESS  67
011000111   28   15   25   29   26   24   26   29  6.325403 0.610832 SUCCESS  68
011001111   22   22   24   36   17   18   21   19 11.974077 0.152364 SUCCESS  69
011010111   29   24   16   31   23   21   30   25  7.655321 0.467842 SUCCESS  70
011011111   30   22   13   20   35   19   17   28 16.762177 0.032683 SUCCESS  71
011101111   30   35   24   14   28   31   26   23 13.266261 0.103011 SUCCESS  72
011111111   21   14   15   18   13   14   16   22 23.864558 0.002415 FAILURE  73
100000000   20   24   20   20   12   24   25   25  9.015689 0.340974 SUCCESS  74
100010000   19   21   22   21   21   17   24   30  6.601449 0.580178 SUCCESS  75
100100000   14   19   24   27   22   27   27   25  6.941706 0.542935 SUCCESS  76
100101000   31   25   25   17   28   28   28   29  6.741788 0.564731 SUCCESS  77
100110000   30   30   28   16   20   18   24   29  9.654500 0.290117 SUCCESS  78
100111000   25   27   26   26   20   28   41   24 13.572096 0.093623 SUCCESS  79
101000000   20   23   19   25   17   37   22   27 11.729806 0.163672 SUCCESS  80
101000100   22   29   24   20   29   21   27   19  4.875005 0.770848 SUCCESS  81
101001000   17   26   26   24   22   28   30   32  7.113821 0.524404 SUCCESS  82
101001100   20   27   23   27   18   16   25   21  6.703394 0.568946 SUCCESS  83
101010000   22   25   17   16   24   27   25   24  5.881877 0.660462 SUCCESS  84
101010100   27   30   24   27   25   25   29   24  2.844051 0.943760 SUCCESS  85
101011000   32   16   22   29   23   25   20   22  7.738730 0.459399 SUCCESS  86
101011100   28   19   26   26   33   22   26   27  5.775298 0.672385 SUCCESS  87
101100000   26   19   30   19   19   23   15   19 10.201957 0.251136 SUCCESS  88
101100100   19   18   21   22   27   23   24   20  4.898175 0.768402 SUCCESS  89
101101000   21   26   31   26   28   26   19   19  5.680635 0.682955 SUCCESS  90
101101100   25   23   25   19   22   21   24   22  2.331679 0.969118 SUCCESS  91
101110000   30   28   22   25   32   20   25   19  6.655731 0.574190 SUCCESS  92
101110100   28   24   23   19   26   32   32   26  6.987383 0.537995 SUCCESS  93
101111000   23   31   24   29   24   32   28   27  6.124161 0.633326 SUCCESS  94
101111100   26   31   22   26   37   19   26   23 10.461453 0.234119 SUCCESS  95
110000000   21   27   27   19   15   23   23   23  6.288332 0.614969 SUCCESS  96
110000010   22   28   24   18   26   21   22   24  3.382903 0.908085 SUCCESS  97
110000100   25   27   19   33   31   22   27   17  9.367200 0.312272 SUCCESS  98
110001000   25   19   20   28   21   19   23   28  4.975626 0.760178 SUCCESS  99
110001010   19   22   28   28   29   21   22   23  4.290477 0.830011 SUCCESS 100
110010000   24   22   18   23   24   28   26   22  2.976447 0.935827 SUCCESS 101
110010010   23   23   16   23   26   22   33   20  7.543446 0.479287 SUCCESS 102
110010100   26   29   28   20   26   25   28   23  3.131351 0.925846 SUCCESS 103
110011000   31   26   30   19   15   17   21   27 11.356450 0.182309 SUCCESS 104
110011010   33   25   27   19   28   25   34   34 13.047808 0.110215 SUCCESS 105
110100000   16   20   27   29   17   27   23   26  7.789040 0.454344 SUCCESS 106
110100010   27   26   29   29   25   26   23   18  4.130940 0.845120 SUCCESS 107
