		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000111   21   20   18   21   26   25   22   19  5.135163 0.743037 SUCCESS  32
001001011   19   24   22   29   30   24   19   27  5.239756 0.731670 SUCCESS  33
001001101   26   22   29   28   27   30   30   25  4.759821 0.782911 SUCCESS  34
001001111   22   26   20   24   28   20   33   30  7.011876 0.535352 SUCCESS  35
001010011   22   24   28   27   21   24   17   26  4.010460 0.856179 SUCCESS  36
001010101   24   22   26   31   27   28   22   17  5.604507 0.691436 SUCCESS  37
001010111   27   26   16   27   23   31   28   22  6.392925 0.603307 SUCCESS  38
001011011   21   23   25   20   16   24   27   21  5.178192 0.738372 SUCCESS  39
001011101   28   23   22   28   24   26   15   23  5.366194 0.717815 SUCCESS  40
001011111   19   25   17   19   42   24   16   23 21.007453 0.007128 FAILURE  41
001100101   21   24   23   26   37   15   24   21 11.653679 0.167338 SUCCESS  42
001100111   24   26    9   21   26   21   24   22 11.498775 0.175007 SUCCESS  43
001101011   19   17   26   23   24   20   19   27  6.093048 0.636810 SUCCESS  44
001101101   29   19   21   28   16   24   35   32 13.375488 0.099567 SUCCESS  45
001101111   21   16   30   32   29   21   22   22  9.128888 0.331540 SUCCESS  46
001110101   21   31   19   25   22   30   18   21  7.382585 0.495972 SUCCESS  47
001110111   27   28   16   30   26   27   17   32 10.316479 0.243512 SUCCESS  48
001111011   17   25   26   19   22   27   30   31  7.383909 0.495834 SUCCESS  49
001111101   17   16   27   19   33   16   24   16 15.946618 0.043151 SUCCESS  50
001111111   25   26   12   22   23   15   29   20 12.422237 0.133336 SUCCESS  51
010000011   24   32   28   27   18   25   21   17  7.849281 0.448330 SUCCESS  52
010000111   23   31   24   20   31   31   16   24  9.443328 0.306287 SUCCESS  53
010001011   24   21   30   24   27   20   18   22  4.916710 0.766440 SUCCESS  54
010001111   26   21   20   18   22   22   24   15  7.388543 0.495350 SUCCESS  55
010010011   26   28   22   21   30   13   28   25  8.789954 0.360324 SUCCESS  56
010010111   17   28   20   28   33   22   23   27  7.985648 0.434873 SUCCESS  57
010011011   27   17   26   27   21   36   36   32 17.343395 0.026725 SUCCESS  58
010011111   33   25   23   28   23   18   30   21  7.418332 0.492242 SUCCESS  59
010100011   23   33   23   30   16   28   26   20  9.095789 0.334280 SUCCESS  60
010100111   24   24   26   27   20   19   18   26  4.306365 0.828479 SUCCESS  61
010101011   25   22   24   28   23   26   18   17  5.060360 0.751106 SUCCESS  62
010101111   26   23   14   30   19   26   27   19  8.966703 0.345113 SUCCESS  63
010110011   31   23   29   30   25   23   22   27  4.784314 0.780361 SUCCESS  64
010110111   22   23   26   28   15   18   36   26 12.272630 0.139448 SUCCESS  65
010111011   22   25   21   31   27   24   20   26  3.816500 0.873288 SUCCESS  66
010111111   22   26   20   22   23   20   18   23  4.135574 0.844689 SUCCESS  67
011000111   25   21   30   31   22   19   28   31  7.554700 0.478130 SUCCESS  68
011001111   28   29   14   16   28   21   21   22 10.787809 0.214015 SUCCESS  69
011010111   23   21   30   28   20   22   28   32  6.512081 0.590068 SUCCESS  70
011011111   22   22   32   31   30   28   25   30  8.005508 0.432932 SUCCESS  71
011101111   23   33   17   29   23   28   22   35 12.071388 0.148047 SUCCESS  72
011111111   21   23   15   15   22   19   19   20 11.589467 0.170482 SUCCESS  73
100000000   29   23   21   27   24   25   34   24  5.690565 0.681848 SUCCESS  74
100010000   33   22   29   16   23   26   24   23  7.544770 0.479151 SUCCESS  75
100100000   28   24   31   26   24   24   23   24  2.614344 0.956185 SUCCESS  76
100101000   14   29   25   23   22   27   19   32  9.789543 0.280109 SUCCESS  77
100110000   32   24   24   26   25   30   11   20 12.340152 0.136660 SUCCESS  78
100111000   28   20   25   18   25   18   31   34 10.620990 0.224113 SUCCESS  79
101000000   26   25   26   22   17   23   28   28  3.977361 0.859160 SUCCESS  80
101000100   18   20   19   22   33   20   29   27  9.170592 0.328110 SUCCESS  81
101001000   23   19   26   21   28   29   17   19  6.915889 0.545734 SUCCESS  82
101001100   27   26   23   19   34   28   15   24  9.917306 0.270878 SUCCESS  83
101010000   24   34   27   22   15   20   27   17 11.610650 0.169439 SUCCESS  84
101010100   29   26   26   22   27   31   22   23  3.817824 0.873175 SUCCESS  85
101011000   21   40   25   17   22   29   19   24 15.518317 0.049817 SUCCESS  86
101011100   21   12   22   23   27   26   21   20  9.032901 0.339528 SUCCESS  87
101100000   20   22   15   27   23   26   30   20  7.432895 0.490726 SUCCESS  88
101100100   20   21   29   34   34   24   22   27 10.554792 0.228223 SUCCESS  89
101101000   21   24   29   17   22   23   25   25  4.069376 0.850810 SUCCESS  90
101101100   22   18   22   27   20   26   23   19  4.754525 0.783462 SUCCESS  91
101110000   25   20   26   22   23   29   24   29  3.071110 0.929816 SUCCESS  92
101110100   33   23   24   25   27   31   18   31  8.953463 0.346237 SUCCESS  93
101111000   29   24   26   31   24   19   30   26  5.538309 0.698792 SUCCESS  94
101111100   11   31   28   34   27   29   31   30 18.266857 0.019312 SUCCESS  95
110000000   21   21   24   28   30   28   33   21  7.037693 0.532571 SUCCESS  96
110000010   27   30   28   33   21   22   19   23  7.350810 0.499299 SUCCESS  97
110000100   21   27   25   22   24   15   38   25 12.637381 0.124950 SUCCESS  98
110001000   37   29   29   25   17   25   27   31 13.004779 0.111685 SUCCESS  99
110001010   24   19   21   22   24   25   34   27  6.189035 0.626066 SUCCESS 100
110010000   28   27   27   36   24   18   20   27  9.673035 0.288728 SUCCESS 101
110010010   17   14   27   21   26   27   27   28  8.907786 0.350135 SUCCESS 102
110010100   16   26   28   22   26   28   20   25  5.383406 0.715921 SUCCESS 103
110011000   30   21   31   25   22   28   17   27  7.079398 0.528091 SUCCESS 104
110011010   23   26   26   20   17   19   17   15 10.734851 0.217180 SUCCESS 105
110100000   30   28   26   15   21   28   20   25  7.603686 0.473108 SUCCESS 106
110100010   19   21   26   23   31   21   19   23  5.568760 0.695411 SUCCESS 107
110100100   31   21   23   20   23   23   20   20  5.043148 0.752955 SUCCESS 108
110101000   19   31   18   26   15   17   25   25 11.016192 0.200783 SUCCESS 109
110101010   30   26   24   19   23   29   18   23  5.476745 0.705615 SUCCESS 110
110101100   20   34   20   16   26   27   25   26  9.052760 0.337865 SUCCESS 111
110110000   20   12   23   34   23   27   26   19 13.033906 0.110688 SUCCESS 112
110110010   27   17   33   31   27   29   20   19 10.824880 0.211821 SUCCESS 113
110110100   25   23   25   20   23   25   33   26  4.274590 0.831538 SUCCESS 114
110111000   25   19   23   22   26   27   23   27  2.341609 0.968708 SUCCESS 115
110111010   30   30   26   22   26   29   25   29  4.929288 0.765107 SUCCESS 116
110111100   22   20   26   26   23   18   32   36 11.248547 0.188010 SUCCESS 117
111000000   22   27   21   21   32   35   31   25 10.580609 0.226613 SUCCESS 118
111000010   19   31   25   19   24   27   32   26  7.181343 0.517200 SUCCESS 119
111000100   38   24   27   19   25   23   28   32 12.461956 0.131752 SUCCESS 120
111000110   31   16   30   19   28   18   25   22  9.941799 0.269135 SUCCESS 121
111001000   25   27   23   28   21   23   19   27  3.028082 0.932583 SUCCESS 122
111001010   21   30   27   29   27   24   23   27  3.665568 0.885967 SUCCESS 123
111001100   28   24   31   22   21   26   19   27  4.765779 0.782292 SUCCESS 124
111010000   33   22   25   25   27   24   21   25  4.207068 0.837974 SUCCESS 125
111010010   26   26   24   23   18   30   17   20  6.509434 0.590361 SUCCESS 126
111010100   21   32   20   21   17   26   27   20  7.780435 0.455207 SUCCESS 127
111010110   22   26   28   25   24   31   17   30  6.418742 0.600434 SUCCESS 128
111011000   20   13   21   31   24   24   30   17 12.321616 0.137421 SUCCESS 129
111011010   23   31   22   25   25   23   25   31  4.148152 0.843515 SUCCESS 130
111011100   20   21   16   26   23   25   18   29  7.135666 0.522069 SUCCESS 131
111100000   29   25   22   28   24   27   25   23  2.097338 0.977881 SUCCESS 132
111100010   33   20   22   17   28   18   30   28 10.679906 0.220504 SUCCESS 133
111100100   21   25   21   30   26   25   33   27  5.868637 0.661944 SUCCESS 134
111100110   22   26   31   18   18   22   27   27  6.484940 0.593079 SUCCESS 135
111101000   20   17   28   30   24   25   19   18  8.008818 0.432609 SUCCESS 136
111101010   26   26   20   16   28   19   35   21 11.060545 0.198292 SUCCESS 137
111101100   29   20   25   28   22   20   23   18  5.162305 0.740096 SUCCESS 138
111101110   18   22   21   25   23   33   24   30  7.036369 0.532714 SUCCESS 139
111110000   31   28   18   24   16   31   27   22  9.502244 0.301712 SUCCESS 140
111110010   28   30   21   33   25   30   30   31 10.023222 0.263400 SUCCESS 141
111110100   24   22   24   22   26   26   19   17  4.271942 0.831792 SUCCESS 142
111110110   25   27   25   28   28   20   26   24  2.351538 0.968295 SUCCESS 143
111111000   40   17   19   19   25   15   30   17 22.506837 0.004059 FAILURE 144
111111010   20   22   15   21   21   20   24   30  7.939972 0.439356 SUCCESS 145
111111100   33   24   17   17   25   24   28   21  8.840264 0.355950 SUCCESS 146
111111110   21   23   15   15   22   19   19   20 11.589467 0.170482 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   31   28   23   22   22   14   21   24  8.043241 0.429258 SUCCESS   0
000000011   33   28   28   23   25   17   21   21  7.629503 0.470472 SUCCESS   1
000000101   24   30   30   24   24   22   22   23  3.249183 0.917761 SUCCESS   2
000000111   27   23   30   26   23   21   36   23  8.165045 0.417516 SUCCESS   3
000001001   19   21   18   19   24   30   22   25  6.288332 0.614969 SUCCESS   4
000001011   25   28   33   27   19   23   21   26  5.901736 0.658238 SUCCESS   5
000001101   28   27   34   25   26   29   22   24  6.013611 0.645707 SUCCESS   6
000001111   22   23   29   26   19   25   43   25 17.257338 0.027538 SUCCESS   7
000010001   24   26   29   17   14   20   25   23  8.830335 0.356810 SUCCESS   8
000010011   26   17   19   17   24   23   27   34 10.263521 0.247015 SUCCESS   9
000010101   17   23   26   31   28   22   27   24  5.443646 0.709275 SUCCESS  10
000010111   26   28   29   19   33   27   19   28  7.995578 0.433902 SUCCESS  11
000011001   25   32   14   16   16   19   20   30 16.404708 0.036941 SUCCESS  12
000011011   24   19   22   29   20   24   23   29  4.188532 0.839725 SUCCESS  13
000011101   29   16   33   28   31   24   31   23 11.351816 0.182550 SUCCESS  14
000011111   22   20   25   18   16   23   42   17 21.329175 0.006323 FAILURE  15
000100011   26   33   32   25   19   22   21   20  8.494049 0.386755 SUCCESS  16
000100101   19   20   28   23   28   33   24   21  6.866903 0.551059 SUCCESS  17
000100111   25   25   14   29   25   19   29   28  8.205426 0.413665 SUCCESS  18
000101001   26   22   26   22   22   26   27   25  1.359231 0.994806 SUCCESS  19
000101011   22   22   31   23   26   27   26   28  3.470284 0.901484 SUCCESS  20
000101101   25   24   24   33   10   26   15   19 17.032264 0.029775 SUCCESS  21
000101111   25   21   29   23   23   29   22   27  2.994983 0.934672 SUCCESS  22
000110011   28   22   17   20   15   22   13   31 15.268750 0.054126 SUCCESS  23
000110101   21   29   27   16   26   21   20   20  6.898678 0.547603 SUCCESS  24
000110111   16   18   26   28   25   26   23   29  6.484940 0.593079 SUCCESS  25
000111001   27   33   31   23   34   23   21   21 10.317803 0.243425 SUCCESS  26
000111011   21   22   32   20   30   24   29   28  6.783493 0.560162 SUCCESS  27
000111101   32   27   26   33   25   34   34   21 14.294316 0.074409 SUCCESS  28
000111111   21   19   23   19   18   23   24   16  7.853915 0.447869 SUCCESS  29
001000011   23   19   24   17   23   28   31   28  6.671619 0.572441 SUCCESS  30
001000101   20   24   24    8   19   30   21   27 15.565979 0.049031 SUCCESS  31
001000111   28   29   33   28   21   28   21   19  7.893633 0.443929 SUCCESS  32
001001011   24   20   24   37   31   29   30   22 11.877428 0.156757 SUCCESS  33
001001101   32   22   29   15   21   20   21   23  9.212297 0.324705 SUCCESS  34
001001111   31   22   11   28   29   22   28   20 12.755213 0.120554 SUCCESS  35
001010011   25   35   26   24   26   28   28   18  7.834717 0.449780 SUCCESS  36
001010101   16   29   23   25   22   21   32   29  8.061776 0.427459 SUCCESS  37
001010111   29   18   32   26   26   20   21   25  6.621308 0.577986 SUCCESS  38
001011011   23   25   19   32   11   24   21   25 11.897949 0.155816 SUCCESS  39
001011101   25   17   23   24   27   20   21   27  4.306365 0.828479 SUCCESS  40
001011111   34   24   30   17   21   23   21   28  9.171916 0.328002 SUCCESS  41
001100101   22   34   13   31   17   21   26   21 14.906647 0.060986 SUCCESS  42
001100111   26   29   27   19   24   26   23   31  4.571819 0.802206 SUCCESS  43
001101011   32   33   30   19   22   23   26   20  9.401623 0.309556 SUCCESS  44
001101101   24   25   31   24   22   21   20   27  3.714555 0.881916 SUCCESS  45
001101111   26   20   17   22   21   28   19   23  5.847454 0.664315 SUCCESS  46
001110101   21   28   29   19   27   26   25   27  3.868134 0.868820 SUCCESS  47
001110111   24   23   20   24   25   26   17   20  4.178603 0.840660 SUCCESS  48
001111011   30   24   24   28   27   28   34   22  6.878156 0.549834 SUCCESS  49
001111101   33   27   26   34   15   20   38   23 19.918496 0.010649 SUCCESS  50
001111111   20   19   17   11   25   19   17   11 23.153592 0.003173 FAILURE  51
010000011   24   18   36   27   23   24   34   18 13.460221 0.096965 SUCCESS  52
010000111   23   23   26   20   25   30   35   25  7.215766 0.513542 SUCCESS  53
010001011   17   20   22   17   24   29   27   29  7.789040 0.454344 SUCCESS  54
010001111   27   27   23   29   16   29   26   18  7.281964 0.506539 SUCCESS  55
010010011   32   28   22   27   23   25   17   18  7.679814 0.465355 SUCCESS  56
010010111   30   17   28   33   24   25   22   22  7.841999 0.449055 SUCCESS  57
010011011   36   23   19   17   19   22   19   15 15.794362 0.045420 SUCCESS  58
010011111   30   22   15   23   32   25   27   20  8.968027 0.345000 SUCCESS  59
010100011   11   25   25   23   24   26   26   21  8.432485 0.392403 SUCCESS  60
010100111   24   26   27   20   33   24   25   25  4.393746 0.819967 SUCCESS  61
010101011   21   25   26   29   24   18   31   22  5.341701 0.720508 SUCCESS  62
010101111   26   17   30   26   24   24   25   20  4.714144 0.787646 SUCCESS  63
010110011   17   26   22   27   30   14   17   29 12.084627 0.147468 SUCCESS  64
010110111   27   22   23   24   25   26   21   22  1.477063 0.993082 SUCCESS  65
010111011   29   22   32   31   25   18   23   29  8.165045 0.417516 SUCCESS  66
010111111   33   25   29   16   21   19   24   19 10.000715 0.264976 SUCCESS  67
011000111   20   27   29   36   23   22   27   22  8.562895 0.380499 SUCCESS  68
011001111   35   26   24   19   22   19   26   22  7.942620 0.439095 SUCCESS  69
011010111   23   24   25   26   26   27   29   19  2.740783 0.949557 SUCCESS  70
011011111   25   24   21   27   24   24   17   30  4.459944 0.813427 SUCCESS  71
011101111   25   22   18   32   19   20   24   31  8.349075 0.400135 SUCCESS  72
011111111   18   16   15   12   19   13   19   12 29.464245 0.000263 FAILURE  73
100000000   31   28   23   22   22   14   21   24  8.043241 0.429258 SUCCESS  74
100010000   24   31   32   20   25   18   31   26  8.825701 0.357212 SUCCESS  75
100100000   22   26   24   22   31   24   35   25  7.232977 0.511718 SUCCESS  76
100101000   25   21   24   23   25   28   20   12  8.491401 0.386997 SUCCESS  77
100110000   30   32   19   30   22   21   16   36 15.765235 0.045866 SUCCESS  78
100111000   19   27   21   18   31   27   19   32  9.561160 0.297186 SUCCESS  79
101000000   30   29   23   21   27   21   29   35  9.233480 0.322984 SUCCESS  80
101000100   26   34   17   35   23   24   21   14 16.255100 0.038871 SUCCESS  81
101001000   15   18   24   21   23   20   19   31  9.956362 0.268102 SUCCESS  82
101001100   21   29   18   32   28   27   27   23  6.774887 0.561104 SUCCESS  83
101010000   21   34   20   26   21   31   22   32 10.350902 0.241256 SUCCESS  84
101010100   22   21   24   22   25   22   24   24  1.255962 0.996058 SUCCESS  85
101011000   26   21   26   23   18   27   27   28  3.647033 0.887484 SUCCESS  86
101011100   27   22   23   30   25   23   33   28  5.724987 0.678006 SUCCESS  87
101100000   31   23   22   26   16   17   25   26  7.712913 0.462004 SUCCESS  88
101100100   26   19   20   25   26   20   28   28  4.205744 0.838100 SUCCESS  89
101101000   24   26   26   30   25   22   24   29  2.716289 0.950882 SUCCESS  90
101101100   21   21   27   22   21   18   23   25  3.831063 0.872035 SUCCESS  91
101110000   22   22   23   27   21   22   35   19  7.586475 0.474869 SUCCESS  92
101110100   26   26   22   21   20   26   28   21  2.917531 0.939426 SUCCESS  93
101111000   18   18   30   20   23   28   24   28  6.806662 0.557629 SUCCESS  94
101111100   28   27   32   32   30   24   22   27  7.599052 0.473582 SUCCESS  95
110000000   32   23   23   26   16   12   21   18 14.447233 0.070828 SUCCESS  96
110000010   20   22   25   24   17   25   21   34  7.814858 0.451761 SUCCESS  97
110000100   21   26   27   16   20   35   23   27  9.823966 0.277599 SUCCESS  98
110001000   29   37   35   19   18   24   20   29 17.079265 0.029294 SUCCESS  99
110001010   23   24   23   19   31   24   37   27 10.274775 0.246268 SUCCESS 100
110010000   21   22   24   17   27   31   32   21  8.129298 0.420943 SUCCESS 101
110010010   36   25   23   34   30   23   28   26 11.776807 0.161443 SUCCESS 102
110010100   29   29   20   27   18   22   31   16  9.713416 0.285719 SUCCESS 103
110011000   29   19   25   36   18   18   21   31 13.654181 0.091236 SUCCESS 104
110011010   32   27   28   26   30   25   14   23  9.401623 0.309556 SUCCESS 105
110100000   24   15   37   21   28   27   31   31 15.495147 0.050203 SUCCESS 106
110100010   24   20   15   37   26   29   25   20 13.137175 0.107216 SUCCESS 107
110100100   18   20   28   25   24   25   11   30 12.076022 0.147844 SUCCESS 108
110101000   15   37   22   21   23   29   21   31 14.518727 0.069207 SUCCESS 109
110101010   27   17   27   26   27   19   23   17  6.924495 0.544801 SUCCESS 110
110101100   29   31   30   24   23   17   21   19  8.205426 0.413665 SUCCESS 111
110110000   29   20   27   26   24   21   20   27  3.714555 0.881916 SUCCESS 112
110110010   29   23   26   25   22   22   30   33  6.055315 0.641036 SUCCESS 113
110110100   18   35   28   30   22   26   31   28 11.123433 0.194803 SUCCESS 114
110111000   23   27   22   25   21   27   25   23  1.502880 0.992660 SUCCESS 115
110111010   21   27   29   23   36   20   22   22  8.765461 0.362466 SUCCESS 116
110111100   16   19   30   21   28   32   27   23  9.408905 0.308983 SUCCESS 117
111000000   20   18   27   24   22   18   21   23  5.397969 0.714316 SUCCESS 118
111000010   24   27   25   25   26   30   26   29  2.767924 0.948067 SUCCESS 119
111000100   23   29   30   17   21   28   25   27  5.969258 0.650676 SUCCESS 120
111000110   19   15   27   26   17   19   23   29  9.906052 0.271682 SUCCESS 121
111001000   28   27   24   19   29   36   29   15 13.316572 0.101412 SUCCESS 122
111001010   21   21   19   23   18   32   26   22  6.831156 0.554955 SUCCESS 123
111001100   31   28   28   33   25   17   27   28  9.250692 0.321591 SUCCESS 124
111010000   28   17   28   21   27   25   29   26  5.215263 0.734340 SUCCESS 125
111010010   21   21   19   34   26   20   18   23  8.864758 0.353833 SUCCESS 126
111010100   14   24   25   23   34   31   23   23 10.603779 0.225176 SUCCESS 127
111010110   26   28   25   26   26   20   18   19  4.679721 0.791195 SUCCESS 128
111011000   33   27   23   30   26   26   21   28  6.089738 0.637180 SUCCESS 129
111011010   15   27   30   26   22   26   32   20  9.087183 0.334995 SUCCESS 130
111011100   20   25   22   20   20   22   24   16  5.956680 0.652084 SUCCESS 131
111100000   30   22   32   20   20   17   18   18 11.448465 0.177560 SUCCESS 132
111100010   18   25   31   22   27   31   38   27 14.097708 0.079254 SUCCESS 133
111100100   29   22   22   26   32   27   23   18  6.045386 0.642148 SUCCESS 134
111100110   28   32   23   19   23   23   22   31  6.570998 0.583544 SUCCESS 135
111101000   26   22   21   30   24   24   28   15  6.476335 0.594034 SUCCESS 136
111101010   23   20   27   25   32   20   26   18  6.315473 0.611940 SUCCESS 137
111101100   38   25   28   31   21   21   27   29 12.411645 0.133761 SUCCESS 138
111101110   25   26   18   23   19   23   25   18  5.008725 0.756643 SUCCESS 139
111110000   33   29   26   18   18   23   30   28  9.571090 0.296429 SUCCESS 140
111110010   27   20   25   25   29   24   21   26  2.638838 0.954942 SUCCESS 141
111110100   34   20   18   29   19   25   24   18 10.348254 0.241429 SUCCESS 142
111110110   35   29   23   26   21   19   30   27  9.190452 0.326485 SUCCESS 143
111111000   27   19   26   17   21   19   27   31  7.806252 0.452621 SUCCESS 144
111111010   26   29   22   19   25   18   22   22  4.721426 0.786893 SUCCESS 145
111111100   22   20   20   12   22   16   18   17 15.681164 0.047178 SUCCESS 146
111111110   18   16   15   12   19   13   19   12 29.464245 0.000263 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   20   34   23   21   30   32   26   20 10.003363 0.264790 SUCCESS   0
000000011   15   35   30   22   31   31   25   26 13.893818 0.084575 SUCCESS   1
000000101   28   26   29   21   27   25   20   24  3.173055 0.923032 SUCCESS   2
000000111   17   33   26   34   25   24   26   24  9.605513 0.293812 SUCCESS   3
000001001   16   21   19   23   30   31   25   24  7.992930 0.434161 SUCCESS   4
000001011   27   28   33   29   17   26   18   15 12.772424 0.119923 SUCCESS   5
000001101   19   31   22   20   23   36   27   30 11.545776 0.172650 SUCCESS   6
000001111   20   35   21   23   23   24   26   27  6.638520 0.576087 SUCCESS   7
000010001   20   33   17   25   32   21   32   26 11.782765 0.161163 SUCCESS   8
000010011   20   19   22   26   20   23   28   27  4.145504 0.843763 SUCCESS   9
000010101   24   18   19   19   31   26   16   30 10.483298 0.232728 SUCCESS  10
000010111   26   22   31   32   24   25   20   26  5.597225 0.692246 SUCCESS  11
000011001   33   26   32   14   25   25   19   28 12.087275 0.147352 SUCCESS  12
000011011   23   31   23   23   29   28   26   32  6.098344 0.636217 SUCCESS  13
000011101   21   27   25   21   36   20   25   23  7.900915 0.443209 SUCCESS  14
000011111   26   30   26   28   23   26   26   27  2.683190 0.952641 SUCCESS  15
000100011   19   30   24   22   34   20   30   29  9.766374 0.281808 SUCCESS  16
000100101   17   23   27   27   25   23   23   16  6.144683 0.631029 SUCCESS  17
000100111   22   18   17   25   19   21   29   29  7.830745 0.450176 SUCCESS  18
000101001   21   33   26   24   26   20   26   24  4.782990 0.780499 SUCCESS  19
000101011   26   14   24   23   22   27   30   33  9.773656 0.281273 SUCCESS  20
000101101   22   28   34   24   11   20   26   21 13.728985 0.089109 SUCCESS  21
000101111   27   27   26   23   21   29   19   27  3.672850 0.885369 SUCCESS  22
000110011   29   27   31   13   25   24   16   24 11.551734 0.172353 SUCCESS  23
000110101   29   20   17   27   29   36   24   21 11.418014 0.179120 SUCCESS  24
000110111   22   30   25   24   30   27   25   24  3.233296 0.918875 SUCCESS  25
000111001   20   26   26   32   21   24   25   17  6.315473 0.611940 SUCCESS  26
000111011   18   30   20   17   31   20   18   22 10.846725 0.210536 SUCCESS  27
000111101   28   28   20   32   27   19   30   26  7.326317 0.501869 SUCCESS  28
000111111   24   34   25   23   23   24   26   22  4.452662 0.814150 SUCCESS  29
001000011   33   30   25   21   25   17   21   20  8.611881 0.376087 SUCCESS  30
001000101   24   26   26   22   19   24   27   34  5.901736 0.658238 SUCCESS  31
001000111   19   34   17   25   29   27   30   18 11.722524 0.164020 SUCCESS  32
001001011   26   25   26   19   18   21   23   24  3.780753 0.876343 SUCCESS  33
001001101   33   27   22   32   21   31   21   14 13.519138 0.095192 SUCCESS  34
001001111   22   19   23   23   29   22   22   27  3.315381 0.913036 SUCCESS  35
001010011   24   22   29   33   21   27   28   32  8.055818 0.428037 SUCCESS  36
001010101   20   20   27   18   26   23   22   31  5.942117 0.653716 SUCCESS  37
001010111   22   14   22   29   20   18   15   25 12.277264 0.139255 SUCCESS  38
001011011   31   21   26   22   20   18   23   19  6.559744 0.584789 SUCCESS  39
001011101   30   30   34   29   30   15   23   23 12.698945 0.122636 SUCCESS  40
001011111   29   30   19   24   23   28   18   31  7.681138 0.465221 SUCCESS  41
001100101   19   23   35   24   18   25   27   28  8.672122 0.370706 SUCCESS  42
001100111   27   24   29   15   24   26   16   27  8.323258 0.402547 SUCCESS  43
001101011   23   18   24   24   28   27   20   20  4.306365 0.828479 SUCCESS  44
001101101   22   16   26   32   28   24   26   20  7.273358 0.507447 SUCCESS  45
001101111   29   21   25   31   20   31   24   25  5.936159 0.654383 SUCCESS  46
001110101   29   25   28   18   23   32   25   23  5.825608 0.666759 SUCCESS  47
001110111   22   23   27   24   30   25   26   19  3.308099 0.913562 SUCCESS  48
001111011   23   23   17   30   33   35   17   22 14.273133 0.074918 SUCCESS  49
001111101   17   29   23   24   17   16   21   28  9.651852 0.290316 SUCCESS  50
001111111   23   22   32   20   26   20   19   22  6.001033 0.647116 SUCCESS  51
010000011   26   23   19   23   25   25   20   27  2.646119 0.954569 SUCCESS  52
010000111   26   31   27   23   28   16   24   22  6.112908 0.634586 SUCCESS  53
010001011   29   29   33   27   13   28   27   29 12.453350 0.132094 SUCCESS  54
010001111   23   22   18   27   25   30   28   19  5.476745 0.705615 SUCCESS  55
010010011   26   22   20   28   22   34   22   27  6.401531 0.602349 SUCCESS  56
010010111   30   23   24   20   22   19   22   23  4.043559 0.853172 SUCCESS  57
010011011   28   24   27   33   22   26   19   26  5.673353 0.683768 SUCCESS  58
010011111   22   18   30   26   23   20   23   28  4.951133 0.762786 SUCCESS  59
010100011   29   19   26   29   27   29   31   18  7.902239 0.443078 SUCCESS  60
010100111   22   17   24   25   21   27   20   25  4.195814 0.839038 SUCCESS  61
010101011   20   23   25   21   31   26   24   33  6.503476 0.591022 SUCCESS  62
010101111   26   27   20   25   28   19   17   24  5.340377 0.720653 SUCCESS  63
010110011   26   22   25   22   22   29   24   13  7.263429 0.508496 SUCCESS  64
010110111   20   24   29   26   22   20   22   23  3.222042 0.919660 SUCCESS  65
010111011   31   26   34   20   25   20   27   26  7.910845 0.442227 SUCCESS  66
010111111   27   21   19   21   22   23   27   30  4.442733 0.815135 SUCCESS  67
011000111   28   31   16   14   22   22   27   24 10.746104 0.216504 SUCCESS  68
011001111   24   34   23   20   21   21   16   30 10.111266 0.257303 SUCCESS  69
011010111   29   24   31   22   19   22   22   21  5.205333 0.735421 SUCCESS  70
011011111   22   25   26   25   28   21   29   21  2.808304 0.945805 SUCCESS  71
011101111   30   24   21   28   24   26   25   22  2.749388 0.949087 SUCCESS  72
011111111   26   20   22   26   20   17   19   16  8.642332 0.373360 SUCCESS  73
100000000   20   34   23   21   30   31   26   20  9.401623 0.309556 SUCCESS  74
100010000   28   27   16   22   24   18   21   18  8.033311 0.430223 SUCCESS  75
100100000   20   27   28   28   26   28   32   25  5.327138 0.722107 SUCCESS  76
100101000   27   28   27   26   15   28   31   22  7.613616 0.472093 SUCCESS  77
100110000   21   20   28   22   24   19   23   17  5.745509 0.675714 SUCCESS  78
